ENDEREÇO GOOGLE MAPS,GPS,ALIMENTADOR,GPS - FUSIVEL
FPG0880,"https://www.google.com/maps/place/-6.91025026, -40.10396489",ANN01P4,"-6.91025026, -40.10396489"
FPG0875,"https://www.google.com/maps/place/-6.5937652, -40.07212568",ANN01P4,"-6.5937652, -40.07212568"
FPG1078,"https://www.google.com/maps/place/-6.76037197, -40.44696522",ANN01P4,"-6.76037197, -40.44696522"
FPG0882,"https://www.google.com/maps/place/-6.75635378, -40.024029",ANN01P4,"-6.75635378, -40.024029"
FPG2164,"https://www.google.com/maps/place/-6.60197511, -40.33178923",ANN01P4,"-6.60197511, -40.33178923"
FPG2121,"https://www.google.com/maps/place/-6.54392402, -40.04905691",ANN01P4,"-6.54392402, -40.04905691"
FPG0871,"https://www.google.com/maps/place/-6.66504187, -40.50313984",ANN01P4,"-6.66504187, -40.50313984"
FPG2757,"https://www.google.com/maps/place/-6.9041255, -40.04038071",ANN01P4,"-6.9041255, -40.04038071"
FPG0923,"https://www.google.com/maps/place/-6.67548874, -40.53758622",ANN01P4,"-6.67548874, -40.53758622"
SPG1965,"https://www.google.com/maps/place/-6.77763279, -40.00818522",ANN01P4,"-6.77763279, -40.00818522"
FPG0937,"https://www.google.com/maps/place/-6.50926766, -40.1673577",ANN01P4,"-6.50926766, -40.1673577"
SPG2655,"https://www.google.com/maps/place/-6.56940708, -40.12215073",ANN01P4,"-6.56940708, -40.12215073"
SPG0757,"https://www.google.com/maps/place/-6.59390616, -40.3154888",ANN01P4,"-6.59390616, -40.3154888"
FPG2592,"https://www.google.com/maps/place/-6.90635769, -40.03706404",ANN01P4,"-6.90635769, -40.03706404"
SPG0870,"https://www.google.com/maps/place/-6.60605584, -40.31401954",ANN01P4,"-6.60605584, -40.31401954"
FPG1967,"https://www.google.com/maps/place/-6.59673701, -40.07391387",ANN01P4,"-6.59673701, -40.07391387"
FPG0826,"https://www.google.com/maps/place/-6.66606403, -40.51780397",ANN01P4,"-6.66606403, -40.51780397"
FPG1862,"https://www.google.com/maps/place/-6.58773792, -40.31906291",ANN01P4,"-6.58773792, -40.31906291"
PF0602,"https://www.google.com/maps/place/-6.60229909435136, -40.31157110279929",ANN01P4,"-6.60229909435136, -40.31157110279929"
PF1624,"https://www.google.com/maps/place/-6.599557586299431, -40.16265009379041",ANN01P4,"-6.599557586299431, -40.16265009379041"
PG0035,"https://www.google.com/maps/place/-6.875244721264174, -40.12501766460485",ANN01P4,"-6.875244721264174, -40.12501766460485"
PG1957,"https://www.google.com/maps/place/-6.667279299337445, -40.09639428341674",ANN01P4,"-6.667279299337445, -40.09639428341674"
PG2294,"https://www.google.com/maps/place/-6.752967069891897, -40.04268936762616",ANN01P4,"-6.752967069891897, -40.04268936762616"
FVJ0863,"https://www.google.com/maps/place/-7.15265332, -40.15662174",ARP01M1,"-7.15265332, -40.15662174"
FVJ0884,"https://www.google.com/maps/place/-7.21528021, -40.13639446",ARP01M1,"-7.21528021, -40.13639446"
FVJ0909,"https://www.google.com/maps/place/-7.20617023, -40.20792294",ARP01M1,"-7.20617023, -40.20792294"
FVJ0912,"https://www.google.com/maps/place/-7.19423938, -40.191392",ARP01M1,"-7.19423938, -40.191392"
FVJ0913,"https://www.google.com/maps/place/-7.19783933, -40.18774286",ARP01M1,"-7.19783933, -40.18774286"
FVJ0921,"https://www.google.com/maps/place/-7.32765035, -40.25005102",ARP01M1,"-7.32765035, -40.25005102"
FVJ0923,"https://www.google.com/maps/place/-7.32594418, -40.2259244",ARP01M1,"-7.32594418, -40.2259244"
FVJ0925,"https://www.google.com/maps/place/-7.32029234, -40.23234925",ARP01M1,"-7.32029234, -40.23234925"
FVJ0927,"https://www.google.com/maps/place/-7.32125925, -40.25228866",ARP01M1,"-7.32125925, -40.25228866"
FVJ0930,"https://www.google.com/maps/place/-7.39585518, -40.22176773",ARP01M1,"-7.39585518, -40.22176773"
FVJ0934,"https://www.google.com/maps/place/-7.37073239, -40.18786278",ARP01M1,"-7.37073239, -40.18786278"
FVJ0935,"https://www.google.com/maps/place/-7.37675558, -40.1810662",ARP01M1,"-7.37675558, -40.1810662"
FVJ0937,"https://www.google.com/maps/place/-7.21169288, -40.16386186",ARP01M1,"-7.21169288, -40.16386186"
