CD,LOCALIZAÇÃO,ALIMENTADOR,TOTAL CLIENTES,TOTAL POTENCIA,GPS - BT
TOS1561,"https://www.google.com/maps/place/-7.19734355,-39.02736893",MLG01Y5,0,10,"-7.19734355,-39.02736893"
TOS1565,"https://www.google.com/maps/place/-7.21994996,-39.00700769",MLG01Y5,0,5,"-7.21994996,-39.00700769"
TOS1566,"https://www.google.com/maps/place/-7.1846142,-39.04906062",MLG01Y5,0,10,"-7.1846142,-39.04906062"
TOS1567,"https://www.google.com/maps/place/-7.18347369,-39.05545499",MLG01Y5,0,10,"-7.18347369,-39.05545499"
TOS1570,"https://www.google.com/maps/place/-7.33010127,-38.98885248",MLG01Y5,1,5,"-7.33010127,-38.98885248"
TOS1578,"https://www.google.com/maps/place/-7.29217739,-38.94133622",MLG01Y5,4,10,"-7.29217739,-38.94133622"
TOS1579,"https://www.google.com/maps/place/-7.28848645,-38.93955199",MLG01Y5,4,10,"-7.28848645,-38.93955199"
TOS1581,"https://www.google.com/maps/place/-7.15108811,-39.06524141",MLG01Y5,0,10,"-7.15108811,-39.06524141"
TOS1584,"https://www.google.com/maps/place/-7.22898524,-38.96212412",MLG01Y5,2,10,"-7.22898524,-38.96212412"
TOS1588,"https://www.google.com/maps/place/-7.33312803,-38.94238185",MLG01Y5,17,10,"-7.33312803,-38.94238185"
TOS1596,"https://www.google.com/maps/place/-7.31103955,-38.95503233",MLG01Y5,1,300,"-7.31103955,-38.95503233"
TOS1599,"https://www.google.com/maps/place/-7.27214006,-39.06501405",MLG01Y5,3,15,"-7.27214006,-39.06501405"
TOS1601,"https://www.google.com/maps/place/-7.3036208,-38.94462342",MLG01Y5,0,45,"-7.3036208,-38.94462342"
TOS1605,"https://www.google.com/maps/place/-7.32971067,-38.96043944",MLG01Y5,3,15,"-7.32971067,-38.96043944"
